company,1st Quarter (Jan 1 - Mar 31),2nd Quarter (Apr 1 - June 30),3rd Quarter (July 1 - Sep 30),4th Quarter (Oct 1 - Dec 31),2020 Spending
ORACLE,2200000.0,2090000.0,2270000.0,3010000.0,9570000.0
ACCENTURE,940000.0,770000.0,810000.0,730000.0,3250000.0
PRICEWATERHOUSECOOPERS,710000.0,690000.0,730000.0,690000.0,2820000.0
DELOITTE,720000.0,850000.0,420000.0,410000.0,2400000.0
RELX,710000.0,635000.0,515000.0,515000.0,2375000.0
S&P GLOBAL,468000.0,408000.0,373000.0,370000.0,1619000.0
EXPERIAN,360000.0,360000.0,360000.0,360000.0,1440000.0
EQUIFAX,371154.0,350000.0,350000.0,350000.0,1421154.0
TRANSUNION,260000.0,440000.0,360000.0,290000.0,1350000.0
LIVERAMP,175000.0,165000.0,145000.0,145000.0,630000.0
ACXIOM,90000.0,90000.0,90000.0,90000.0,360000.0
NCR,90000.0,70000.0,60000.0,60000.0,280000.0
CORELOGIC,50000.0,50000.0,50000.0,65000.0,215000.0
DUN & BRADSTREET,50000.0,50000.0,50000.0,50000.0,200000.0
TABOOLA,70000.0,60000.0,40000.0,,170000.0
VENNTEL,,,80000.0,80000.0,160000.0
NEUSTAR,37500.0,37500.0,37500.0,37500.0,150000.0
ZETA GLOBAL,,50000.0,50000.0,50000.0,150000.0
INMAR,30000.0,80000.0,20000.0,,130000.0
QUAD/GRAPHICS,30000.0,30000.0,30000.0,30000.0,120000.0
REFINITIV,30000.0,30000.0,30000.0,30000.0,120000.0
IHS MARKIT,20000.0,30000.0,20000.0,10000.0,80000.0
EARLY WARNING SERVICES,,,10000.0,20000.0,30000.0
ARISTOTLE INTERNATIONAL,,,,30000.0,30000.0
X-MODE,,,,30000.0,30000.0
