client.name.check,guess.name,guess.confidence,human_check,company,parent_company
ACCENTURE LLP,ACCENTURE LLP,100,Y,ACCENTURE,
ACCENTURE,ACCENTURE LLP,95,Y,ACCENTURE,
ACCENTURE FEDERAL SERVICES LLC,ACCENTURE FEDERAL SERVICES,95,Y,ACCENTURE FEDERAL SERVICES,ACCENTURE
ACCUITY,ACCUITY INC,90,Y,ACCUITY,RELX
ACXIOM CORPORATION,ACXIOM,90,Y,ACXIOM,
ARISTOTLE INTERNATIONAL INC,ARISTOTLE INTERNATIONAL INC,100,Y,ARISTOTLE INTERNATIONAL,
CORELOGIC,CORELOGIC BACKGROUND DATA LLC,90,Y,CORELOGIC,
DELOITTE LLP,DELOITTE,90,Y,DELOITTE,
DUN & BRADSTREET,DUN & BRADSTREET  INC,95,Y,DUN & BRADSTREET,
EARLY WARNING SERVICES LLC,EARLY WARNING SERVICES LLC,100,Y,EARLY WARNING SERVICES,
ELSEVIER INC,ELSEVIER,90,Y,ELSEVIER,RELX
EPSILON DATA MANAGEMENT LLC,EPSILON DATA MANAGEMENT LLC,100,Y,EPSILON,
EQUIFAX INC,EQUIFAX,90,Y,EQUIFAX,
EXPERIAN INC,EXPERIAN,90,Y,EXPERIAN,
EXPERIAN NORTH AMERICA,EXPERIAN,90,Y,EXPERIAN,
INMAR,INMAR,100,Y,INMAR,
INMAR INC,INMAR,90,Y,INMAR,
LIVERAMP INC,LIVERAMP INC,100,Y,LIVERAMP,
LIVERAMP,LIVERAMP,100,Y,LIVERAMP,
LIVERAMP HOLDINGS INC,LIVERAMP,90,Y,LIVERAMP,
NCR CORPORATION,NCR CORPORATION,100,Y,NCR,
NEUSTAR,NEUSTAR INC,90,Y,NEUSTAR,
ORACLE,ORACLE,100,Y,ORACLE,
LIVINGSTON GROUP (ON BEHALF OF ORACLE),ORACLE,90,Y,ORACLE,
ORACLE CORPORATION,ORACLE,90,Y,ORACLE,
ORACLE AMERICAN INC,ORACLE,90,Y,ORACLE AMERICA,ORACLE
ORACLE AMERICA INC,ORACLE AMERICA INC ORACLE DATA CLOUD  ,90,Y,ORACLE AMERICA,ORACLE
PRICEWATERHOUSECOOPERS LLP,PRICEWATERHOUSECOOPERS LLP,100,Y,PRICEWATERHOUSECOOPERS,
PRICEWATERHOUSE COOPERS LLP,PRICEWATERHOUSECOOPERS LLP,98,Y,PRICEWATERHOUSECOOPERS,
PRICEWATERHOUSECOOPER LLP,PRICEWATERHOUSECOOPERS LLP,98,Y,PRICEWATERHOUSECOOPERS,
PRICEWATERHOUSECOOPERS,PRICEWATERHOUSECOOPERS LLP,95,Y,PRICEWATERHOUSECOOPERS,
QUAD GRAPHICS,QUAD/GRAPHICS INC,95,Y,QUAD/GRAPHICS,
REFINITIV,THOMAS REUTERS (CRC) LLC (D/B/A REFINITIV),90,Y,REFINITIV,
RELX INC (FKA REED ELSEVIER INC),RELX,90,Y,RELX,
RELX INC (FORMERLY KNOWN AS REED ELSEVIER INC ),ELSEVIER,90,Y,RELX,
RELX INC FORMERLY REED ELSEVIER INC,ELSEVIER,90,Y,RELX,
RELX INC,RELX,90,Y,RELX,
S&P GLOBAL INC,S&P GLOBAL INC,100,Y,S&P GLOBAL,
S&P GLOBAL,S&P GLOBAL INC,95,Y,S&P GLOBAL,
S&P GLOBAL INC (F/K/A MCGRAW HILL FINANCIAL INC ),S&P GLOBAL INC,90,Y,S&P GLOBAL,
S&P GLOBAL INC (FORMERLY MCGRAW HILL FINANCIAL),S&P GLOBAL INC,90,Y,S&P GLOBAL,
SENTILINK CORP,SENTILINK CORP,100,Y,SENTILINK,
TABOOLA INC,TABOOLA INC,100,Y,TABOOLA,
TRANSUNION,TRANSUNION,100,Y,TRANSUNION,
TRANS UNION LLC,TRANS UNION LLC,100,Y,TRANSUNION,
TRANSUNION LLC,TRANS UNION LLC,97,Y,TRANSUNION,
VENNTEL INC,VENNTEL INC,100,Y,VENNTEL,
X-MODE INC,X-MODE,90,Y,X-MODE,
ZETA GLOBAL,ZETA GLOBAL,100,Y,ZETA GLOBAL,
IHS MARITIME & TRADE,IHS MARKIT,86,Y,IHS MARKIT,
